Intervention,"Baseline Weighted (Score, Rank)","Regulator-Focused Weights* (Score, Rank)","Investor-Focused Weights** (Score, Rank)","Patient-Focused Weights*** (Score, Rank)"
Acarbose,3.7 (1),3.4 (8),3.9 (1),3.6 (3)
SGLT2 inhibitors,3.7 (1),3.8 (1),3.5 (5),3.8 (1)
GLP-1 agonists,3.6 (3),3.7 (3),3.4 (6),3.6 (4)
L-deprenyl,3.6 (3),3.6 (4),3.6 (3),3.6 (5)
Rapamycin,3.5 (5),3.2 (11),3.6 (4),3.3 (10)
Metformin,3.5 (5),3.8 (1),2.7 (18),3.7 (2)
NAD+ Restoration (NMN/NR),3.5 (5),3.4 (8),3.2 (11),3.3 (10)
GlyNAC,3.4 (8),3.5 (5),3.2 (8),3.5 (7)
Gut Microbiome Modulation,3.4 (8),3.5 (5),3.2 (8),3.5 (7)
Mitochondria (Urolithin A),3.4 (10),3.5 (5),3.3 (7),3.5 (6)
Spermidine,3.3 (11),3.3 (10),3.2 (11),3.4 (9)
Senolytics (D+Q),3.1 (12),3 (14),3.1 (14),3.1 (15)
Alpha-ketoglutarate,3.1 (13),3.2 (11),3 (15),3.2 (12)
Fisetin,3.1 (13),3.2 (11),3 (15),3.2 (12)
Anti-inflammatory,3.1 (13),3 (15),2.8 (17),3.1 (14)
Epigenetic reprogramming (OSK),3.1 (16),2.4 (21),3.7 (2),2.6 (19)
Plasma dilution/apheresis,2.8 (17),2.8 (16),2.5 (23),2.8 (17)
17α-estradiol,2.8 (18),2.5 (18),3.1 (13),2.6 (18)
Stem cell therapy,2.7 (19),2.8 (16),2.5 (20),2.8 (16)
Xenotransplantation,2.7 (19),2.3 (22),3.2 (8),2.5 (20)
Telomere extension,2.5 (21),2.1 (24),2.6 (19),2.2 (25)
Elamipretide,2.4 (22),2.4 (19),2.2 (25),2.4 (21)
Chemical reprogramming,2.4 (22),1.8 (28),2.5 (20),1.9 (28)
Chloroquine,2.4 (24),2.2 (23),2.2 (25),2.3 (22)
Exosome therapy,2.3 (25),2.4 (19),2.1 (28),2.3 (23)
Synthetic organs,2.3 (26),2.1 (24),2.4 (24),2.3 (24)
Gene therapy,2.3 (26),1.8 (27),2.5 (20),1.9 (27)
Young blood plasma,2.1 (28),2 (26),2.1 (28),2.1 (26)
CAR-T senolytics,1.9 (29),1.6 (29),1.8 (30),1.6 (29)
NDGA,1.8 (30),1.4 (30),2.1 (27),1.6 (30)
