Intervention,WeightedScore_Mean,95% CI Lower,95% CI Upper
SGLT2 inhibitors,3.7,3.48,3.93
Acarbose,3.69,3.47,3.9
L-deprenyl,3.6,3.37,3.83
GLP-1 agonists,3.6,3.38,3.82
NAD+ Restoration (NMN/NR),3.49,3.27,3.71
Rapamycin,3.49,3.27,3.71
Metformin,3.47,3.3,3.64
GlyNAC,3.4,3.17,3.63
Gut Microbiome Modulation,3.4,3.18,3.62
Mitochondria (Urolithin A),3.4,3.18,3.62
Spermidine,3.29,3.06,3.51
Fisetin,3.1,2.88,3.32
Anti-inflammatory,3.1,2.88,3.32
Senolytics (D+Q),3.1,2.88,3.33
Alpha-ketoglutarate,3.1,2.88,3.32
Epigenetic reprogramming (OSK),3.09,2.89,3.28
17α-estradiol,2.82,2.63,3.03
Plasma dilution/apheresis,2.8,2.58,3.03
Stem cell therapy,2.71,2.49,2.93
Xenotransplantation,2.71,2.49,2.93
Telomere extension,2.51,2.29,2.73
Chemical reprogramming,2.43,2.23,2.63
Elamipretide,2.41,2.19,2.63
Chloroquine,2.4,2.18,2.63
Gene therapy,2.34,2.14,2.54
Synthetic organs,2.31,2.09,2.53
Exosome therapy,2.3,2.08,2.52
Young blood plasma,2.11,1.89,2.33
CAR-T senolytics,1.94,1.74,2.13
NDGA,1.86,1.69,2.04
