Intervention,WeightedScore_Mean,WeightedScore_P2_5,WeightedScore_P97_5
Spermidine,3.687653071531142,3.4418467710351024,3.932622488860064
SGLT2 inhibitors,3.600719030540062,3.352225806470222,3.8468629789880007
Rapamycin,3.587870094942442,3.3443091885153056,3.831672685799444
Metformin,3.46308383890087,3.2389250791780713,3.6843857916015903
Gut Microbiome Modulation,3.401283281944664,3.1539030274099757,3.6538220579885863
Glutathione Precursors,3.3996998845447486,3.149447189226488,3.6530865752886807
Acarbose,3.3851317405978776,3.1451702435963007,3.629327626348691
Stem cell therapy,3.3138969316923563,3.0726483680736716,3.5602970192595493
L-deprenyl,3.3015607408326533,3.0536765905871035,3.5457232637162353
Mitochondria (Urolithin A),3.2473142445653953,3.002564957329525,3.499482489373701
Anti-inflammatory,3.2004925756436395,2.9503842974470382,3.44679487420541
17α-estradiol,3.023889335749137,2.7943509050410786,3.258360019649497
Plasma dilution/apheresis,3.002868846301091,2.75356107160463,3.2511051767372456
Alpha-ketoglutarate,2.899640424659618,2.653841597399251,3.1465428168635907
Fisetin,2.898977266747292,2.651390015950143,3.1516130277539944
NAD+ Restoration (NMN/NR),2.823922005139935,2.623979887448548,3.03134371618502
GLP-1 agonists,2.7368417245441137,2.533265259525914,2.950704603940877
Chloroquine,2.700649640208519,2.452810933848543,2.9471286607923486
Senolytics (D+Q),2.6486433776156324,2.4028692530768483,2.8899932119184673
Exosome therapy,2.448479937933659,2.1986635003327226,2.6963927131879726
Young blood plasma,2.41274640807281,2.1709213139883934,2.656887527276086
Elamipretide,2.412542530691521,2.169230446834384,2.6586455072272357
Telomere extension,2.3643424565900126,2.1193939471175542,2.6121442064394294
Gene therapy,2.33957568986185,2.116204786109423,2.567954912282228
Epigenetic reprogramming,2.1874609478482254,1.9636594759338186,2.412000094563746
Proteostasis & Nucleolus,2.1522654318679195,1.9289515954695715,2.3761094511869185
Chemical reprogramming,2.1130903290258622,1.8848735715413516,2.3468215330212745
Synthetic organs,2.0122042628599504,1.7703055242090335,2.259638697097797
Xenotransplantation,1.837863909509955,1.6195174165434227,2.060760487233521
Immunotherapy senolytics,1.7853598123648564,1.5624326101625556,2.0122972979098894
